### 2016-02-09 14:00:50.959422009 +0100 CET Data Acquisition

### [Ard], localTime(us), sincroTime(us), sensorTime(us), distance(mm), accX(g), accY(g), accZ(g), gyrX(º/s), gyrY(º/s), gyrZ(º/s) 

[Ard], 139030, 0, 0, 0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
[Ard], 210093, 0, 1631762268, 95, 0.762695, -0.568604, -0.319092, 1.511450, 1.954198, 0.534351
[Ard], 212862, 0, 1631801788, 94, 0.766602, -0.567871, -0.322510, 1.396947, 1.770992, 0.458015
[Ard], 254040, 0, 1631841308, 94, 0.768555, -0.568848, -0.324707, 0.969466, 1.564885, 0.511450
[Ard], 298670, 0, 1631880828, 95, 0.765137, -0.565186, -0.319580, 1.190840, 1.694656, 0.595420
[Ard], 340357, 0, 1631920348, 94, 0.764404, -0.563965, -0.323730, 1.442748, 1.923664, 0.343511
[Ard], 380770, 0, 1631959868, 95, 0.763672, -0.569336, -0.324219, 1.053435, 1.755725, 0.320611
[Ard], 423710, 0, 1631999388, 94, 0.769531, -0.572998, -0.320068, 1.335878, 1.809160, 0.442748
[Ard], 432881, 0, 1632038908, 94, 0.766113, -0.571045, -0.323730, 1.229008, 1.839695, 0.511450
[Ard], 575148, 0, 1632078428, 95, 0.765137, -0.567871, -0.316162, 1.160305, 1.709924, 0.381679
[Ard], 577772, 0, 1632117948, 94, 0.766357, -0.560791, -0.313965, 1.213740, 1.687023, 0.305344
[Ard], 580210, 0, 1632157468, 95, 0.762939, -0.569824, -0.326172, 1.450382, 1.679389, 0.343511
[Ard], 621452, 0, 1632196988, 94, 0.764404, -0.571045, -0.316895, 1.427481, 1.961832, 0.648855
[Ard], 697269, 0, 1632236508, 95, 0.761719, -0.570557, -0.315918, 1.106870, 1.564885, 0.557252
[Ard], 703770, 0, 1632276028, 95, 0.774902, -0.564453, -0.314453, 1.534351, 1.603053, 0.503817
[Ard], 726903, 0, 1632315548, 94, 0.763184, -0.571289, -0.322510, 1.335878, 1.824427, 0.473282
[Ard], 755452, 0, 1632355068, 95, 0.765869, -0.574463, -0.319092, 1.129771, 1.610687, 0.419847
[Ard], 800461, 0, 1632394588, 94, 0.770508, -0.567627, -0.311768, 1.282443, 1.839695, 0.564885
[Ard], 856586, 0, 1632434108, 95, 0.770264, -0.568848, -0.315674, 1.244275, 1.778626, 0.419847
[Ard], 896511, 0, 1632473628, 95, 0.764893, -0.563232, -0.314453, 1.259542, 1.786260, 0.312977
[Ard], 946198, 0, 1632513148, 94, 0.770264, -0.570068, -0.311279, 0.809160, 2.129771, 0.618321
[Ard], 984761, 0, 1632552668, 95, 0.769043, -0.564209, -0.318115, 0.709924, 1.725191, 0.137405
[Ard], 1007625, 0, 1632592188, 94, 0.761475, -0.565430, -0.310303, 1.900763, 1.603053, 0.450382
[Ard], 1133206, 0, 1632631708, 95, 0.765137, -0.573730, -0.321289, 0.694656, 1.603053, 0.458015
[Ard], 1135700, 0, 1632671228, 94, 0.769043, -0.565430, -0.325195, 1.381679, 1.694656, 0.259542
[Ard], 1138205, 0, 1632710748, 94, 0.771484, -0.564697, -0.305420, 0.404580, 1.183206, 0.106870
[Ard], 1167628, 0, 1632750268, 95, 0.761475, -0.565674, -0.328857, 2.328244, 1.633588, 0.633588
[Ard], 1208118, 0, 1632789788, 94, 0.770020, -0.575928, -0.322998, 0.526718, 2.251908, 0.694656
[Ard], 1287780, 0, 1632829308, 95, 0.757812, -0.568115, -0.307617, 0.732824, 1.549618, -0.015267
[Ard], 1326683, 0, 1632868828, 94, 0.766846, -0.562744, -0.314697, 2.969466, 2.473282, 0.442748
[Ard], 1377118, 0, 1632908348, 94, 0.768555, -0.575195, -0.328613, 1.442748, 1.679389, 0.328244
[Ard], 1380134, 0, 1632947868, 95, 0.768799, -0.570312, -0.315186, 1.099237, 1.709924, 0.412214
[Ard], 1421356, 0, 1632987388, 94, 0.769043, -0.562744, -0.306641, 1.748092, 1.755725, 0.198473
[Ard], 1444657, 0, 1633026908, 95, 0.770264, -0.569092, -0.322510, 1.854962, 1.916031, 0.580153
[Ard], 1466550, 0, 1633066428, 94, 0.763428, -0.575195, -0.329346, 1.320611, 1.687023, 0.458015
[Ard], 1512728, 0, 1633105948, 94, 0.760254, -0.568848, -0.311279, 1.000000, 1.442748, 0.427481
[Ard], 1554892, 0, 1633145468, 95, 0.764893, -0.568604, -0.322266, 1.541985, 1.862595, 0.419847
[Ard], 1627151, 0, 1633184988, 94, 0.763184, -0.570312, -0.321533, 1.236641, 1.847328, 0.480916
[Ard], 1635537, 0, 1633224508, 95, 0.763184, -0.568604, -0.321533, 0.885496, 1.679389, 0.259542
[Ard], 1692667, 0, 1633264028, 94, 0.768311, -0.562012, -0.322266, 1.488550, 1.862595, 0.541985
[Ard], 1729412, 0, 1633303548, 94, 0.776855, -0.564941, -0.310547, 1.106870, 1.694656, 0.503817
[Ard], 1764571, 0, 1633343068, 95, 0.764893, -0.569824, -0.322266, 1.282443, 1.809160, 0.381679
[Ard], 1805209, 0, 1633382588, 94, 0.764160, -0.564209, -0.313477, 1.038168, 1.595420, 0.427481
